    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.08456	0.175428	        -166.379	         3126.84	         2960.46
       1	 2.08459	0.175422	        -166.425	         3126.88	         2960.46
       2	 2.08468	0.175405	        -166.563	         3127.02	         2960.46
       3	 2.08483	0.175376	        -166.794	         3127.25	         2960.46
       4	 2.08505	0.175335	         -167.12	         3127.58	         2960.46
       5	 2.08533	0.175283	        -167.541	            3128	         2960.46
       6	 2.08568	0.175218	        -168.061	         3128.52	         2960.46
       7	 2.08609	0.175141	        -168.682	         3129.14	         2960.46
       8	 2.08658	0.175051	        -169.406	         3129.86	         2960.46
       9	 2.08713	0.174948	        -170.238	          3130.7	         2960.46
      10	 2.08776	0.174831	        -171.183	         3131.64	         2960.46
      11	 2.08847	0.174701	        -172.244	          3132.7	         2960.46
      12	 2.08926	0.174557	        -173.428	         3133.89	         2960.46
      13	 2.09013	0.174398	        -174.741	          3135.2	         2960.46
      14	  2.0911	0.174224	        -176.191	         3136.65	         2960.46
      15	 2.09216	0.174037	        -177.784	         3138.25	         2960.46
      16	 2.09333	0.173836	        -179.528	         3139.99	         2960.46
      17	 2.09459	0.173626	        -181.426	         3141.89	         2960.46
      18	 2.09596	0.173411	        -183.479	         3143.94	         2960.46
      19	 2.09742	0.173202	        -185.675	         3146.13	         2960.46
      20	 2.09895	0.173019	        -187.977	         3148.43	         2960.45
      21	  2.1005	0.172901	        -190.307	         3150.75	         2960.44
      22	 2.10195	0.172913	        -192.505	         3152.92	         2960.42
      23	 2.10311	0.173165	        -194.284	         3154.66	         2960.38
      24	  2.1037	 0.17381	        -195.222	         3155.56	         2960.33
      25	 2.10352	0.174971	        -194.946	         3155.28	         2960.33
      26	 2.10286	0.176488	        -193.833	         3154.29	         2960.45
      27	 2.10304	0.177588	        -193.922	         3154.56	         2960.64
      28	 2.10566	0.177293	        -197.854	         3158.48	         2960.63
      29	 2.11061	 0.17567	         -205.48	         3165.91	         2960.43
      30	 2.11619	 0.17379	        -213.986	         3174.29	          2960.3
      31	 2.12101	0.172484	        -221.234	         3181.52	         2960.28
      32	 2.12462	0.172011	        -226.641	         3186.94	         2960.29
      33	   2.127	  0.1724	        -230.209	          3190.5	         2960.29
      34	 2.12809	0.173683	        -231.876	         3192.14	         2960.26
      35	 2.12783	0.175906	        -231.492	         3191.74	         2960.25
      36	 2.12634	0.178977	        -229.224	         3189.51	         2960.29
      37	 2.12435	0.182468	         -226.13	         3186.53	          2960.4
      38	  2.1231	0.185617	        -224.166	         3184.65	         2960.48
      39	 2.12355	 0.18782	        -224.875	         3185.32	         2960.45
      40	 2.12563	0.189114	        -228.101	         3188.45	         2960.35
      41	 2.12855	0.189965	        -232.554	         3192.82	         2960.27
      42	 2.13159	 0.19078	         -237.14	         3197.39	         2960.25
      43	 2.13455	0.191678	        -241.552	         3201.83	         2960.28
      44	 2.13759	0.192556	         -246.09	         3206.39	          2960.3
      45	  2.1409	0.193308	        -251.051	         3211.34	         2960.29
      46	 2.14441	0.193972	        -256.339	         3216.62	         2960.28
      47	 2.14799	0.194642	        -261.708	         3221.99	         2960.28
      48	 2.15159	 0.19534	        -267.102	         3227.39	         2960.28
      49	 2.15523	0.196057	        -272.561	         3232.85	         2960.28
      50	 2.15889	0.196805	        -278.058	         3238.34	         2960.28
      51	 2.16258	0.197596	         -283.57	         3243.86	         2960.29
      52	 2.16633	0.198402	        -289.188	         3249.49	          2960.3
      53	 2.17018	0.199207	        -294.971	         3255.26	         2960.29
      54	 2.17399	0.200089	        -300.726	         3260.99	         2960.26
      55	 2.17748	0.201225	        -305.985	         3266.22	         2960.23
      56	 2.18031	0.202799	        -310.255	         3270.47	         2960.22
      57	 2.18238	0.204875	        -313.339	         3273.57	         2960.24
      58	 2.18386	0.207341	        -315.506	         3275.78	         2960.28
      59	 2.18512	 0.20995	         -317.37	         3277.69	         2960.32
      60	 2.18658	0.212459	        -319.535	         3279.87	         2960.33
      61	  2.1884	0.214743	        -322.279	          3282.6	         2960.32
      62	 2.19053	0.216821	        -325.503	          3285.8	          2960.3
      63	 2.19284	0.218764	        -328.974	         3289.26	         2960.29
      64	 2.19528	 0.22059	        -332.618	         3292.91	          2960.3
      65	 2.19794	0.222231	        -336.595	          3296.9	         2960.31
      66	  2.2009	 0.22363	        -341.057	         3301.35	         2960.29
      67	 2.20405	0.224852	        -345.817	         3306.07	         2960.26
      68	 2.20704	0.226096	        -350.341	         3310.56	         2960.22
      69	 2.20956	0.227545	        -354.122	         3314.34	         2960.21
      70	 2.21157	0.229211	         -357.11	         3317.36	         2960.25
      71	 2.21345	0.230881	        -359.855	         3320.17	         2960.31
      72	 2.21575	0.232209	        -363.263	         3323.63	         2960.37
      73	 2.21898	0.232912	        -368.091	         3328.47	         2960.38
      74	 2.22327	0.232916	        -374.543	          3334.9	         2960.36
      75	 2.22835	0.232386	        -382.215	         3342.52	          2960.3
      76	 2.23366	0.231661	        -390.259	         3350.49	         2960.23
      77	 2.23854	 0.23115	        -397.636	         3357.81	         2960.17
      78	 2.24236	0.231226	        -403.409	         3363.54	         2960.13
      79	 2.24476	0.232109	        -407.014	         3367.14	         2960.13
      80	 2.24573	0.233806	         -408.44	         3368.59	         2960.15
      81	 2.24561	0.236108	        -408.212	         3368.41	          2960.2
      82	 2.24488	0.238707	        -407.102	         3367.32	         2960.22
      83	 2.24394	 0.24136	         -405.69	          3365.9	         2960.21
      84	 2.24287	0.243977	        -404.121	         3364.31	         2960.19
      85	 2.24169	 0.24654	        -402.355	         3362.54	         2960.18
      86	 2.24064	0.248894	        -400.725	         3360.96	         2960.23
      87	 2.24035	0.250645	        -400.224	         3360.52	          2960.3
      88	 2.24146	 0.25139	          -401.9	          3362.2	          2960.3
      89	 2.24408	0.251072	        -405.885	         3366.12	         2960.23
      90	 2.24769	0.249994	        -411.359	         3371.53	         2960.17
      91	 2.25171	0.248506	        -417.415	         3377.57	         2960.15
      92	 2.25586	0.246783	        -423.627	         3383.79	         2960.16
      93	 2.26013	0.244843	        -430.007	          3390.2	         2960.19
      94	 2.26465	0.242636	        -436.763	         3396.97	         2960.21
      95	  2.2695	0.240134	        -444.043	         3404.25	         2960.21
      96	 2.27456	0.237437	        -451.656	         3411.84	         2960.18
      97	 2.27943	0.234793	        -459.006	         3419.15	         2960.14
      98	 2.28367	0.232492	        -465.379	          3425.5	         2960.12
      99	 2.28701	0.230701	        -470.367	         3430.51	         2960.15
     100	 2.28961	0.229342	        -474.216	         3434.42	         2960.21
     101	 2.29195	0.228146	        -477.681	         3437.92	         2960.24
     102	 2.29428	0.226958	        -481.199	         3441.41	         2960.22
     103	 2.29633	0.225943	        -484.326	         3444.49	         2960.17
     104	 2.29767	0.225371	        -486.342	         3446.51	         2960.17
