    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.17686	 -1.5595	        -14021.4	         13382.6	        -638.805
       1	 2.17693	-1.55617	        -14021.9	         13383.1	        -638.834
       2	 2.17709	-1.54603	        -14022.9	           13384	         -638.92
       3	 2.17716	-1.52856	        -14023.5	         13384.5	        -639.076
       4	 2.17684	 -1.5028	        -14021.8	         13382.5	        -639.317
       5	 2.17564	-1.46735	        -14014.8	         13375.1	        -639.664
       6	 2.17288	-1.42021	        -13998.3	         13358.2	        -640.147
       7	 2.16763	-1.35868	        -13966.7	         13325.9	        -640.791
       8	 2.15864	-1.27937	        -13912.3	         13270.7	        -641.603
       9	 2.14444	-1.17827	        -13825.9	         13183.4	        -642.518
      10	 2.12348	-1.05144	          -13698	         13054.6	        -643.342
      11	 2.09466	-0.896428	        -13521.4	         12877.6	        -643.791
      12	 2.05794	-0.71405	        -13295.6	           12652	        -643.662
      13	 2.01472	-0.509617	        -13029.3	         12386.4	        -642.856
      14	   1.968	-0.293214	        -12740.8	         12099.4	        -641.447
      15	 1.92198	-0.0785422	        -12456.6	         11816.6	        -639.994
      16	 1.88072	 0.12104	        -12202.2	         11563.1	        -639.105
      17	 1.84688	0.296578	          -11994	         11355.2	        -638.835
      18	 1.82146	  0.4442	          -11838	           11199	        -638.905
      19	 1.80436	0.563446	        -11733.1	           11094	        -639.109
      20	 1.79494	0.655713	        -11675.5	         11036.1	        -639.384
      21	 1.79226	0.723514	        -11659.3	         11019.6	        -639.714
      22	 1.79519	0.770122	        -11677.7	         11037.7	        -640.083
      23	 1.80254	0.799289	        -11723.3	         11082.8	        -640.497
      24	 1.81301	0.815121	          -11788	         11147.1	        -640.942
      25	  1.8253	0.821829	        -11863.9	         11222.6	        -641.298
      26	 1.83839	0.822916	        -11944.6	         11303.1	        -641.488
      27	 1.85164	0.820723	        -12026.1	         11384.5	         -641.66
      28	 1.86449	0.817231	        -12105.4	         11463.4	        -641.963
      29	 1.87628	0.814855	        -12178.1	         11535.8	        -642.275
      30	 1.88641	0.815696	        -12240.5	         11598.1	        -642.371
      31	 1.89481	0.820258	          -12292	         11649.7	        -642.256
      32	 1.90186	0.827558	        -12335.2	           11693	        -642.162
      33	 1.90796	 0.83654	        -12372.6	         11730.5	        -642.149
      34	 1.91337	0.846563	        -12405.8	         11763.7	        -642.101
      35	  1.9184	 0.85682	        -12436.6	         11794.6	        -642.004
      36	  1.9234	0.866278	        -12467.3	         11825.4	        -641.959
      37	 1.92861	0.874307	        -12499.4	         11857.4	        -642.038
      38	 1.93397	0.881125	        -12532.5	         11890.3	        -642.186
      39	 1.93923	0.887514	        -12564.9	         11922.6	         -642.35
      40	 1.94406	0.894453	        -12594.8	         11952.3	        -642.519
      41	 1.94814	0.902952	          -12620	         11977.4	        -642.659
      42	 1.95122	0.913751	          -12639	         11996.3	        -642.719
      43	 1.95326	0.926951	        -12651.5	         12008.8	        -642.656
      44	 1.95455	0.941743	        -12659.2	         12016.8	        -642.486
      45	 1.95561	0.956598	        -12665.6	         12023.3	        -642.362
      46	 1.95686	0.970287	        -12673.4	         12030.9	        -642.436
      47	 1.95829	0.982814	        -12682.4	         12039.7	        -642.657
      48	 1.95957	0.995158	        -12690.5	         12047.6	         -642.87
      49	 1.96036	 1.00831	        -12695.4	         12052.5	        -642.975
      50	 1.96054	 1.02256	        -12696.5	         12053.5	        -642.974
      51	 1.96021	 1.03753	        -12694.5	         12051.5	        -642.933
      52	 1.95962	 1.05243	        -12690.7	         12047.9	        -642.825
      53	  1.9592	 1.06602	        -12687.9	         12045.3	        -642.603
      54	 1.95955	 1.07645	        -12689.8	         12047.4	        -642.381
      55	 1.96124	 1.08205	        -12700.2	         12057.9	        -642.328
      56	 1.96443	 1.08245	          -12720	         12077.4	         -642.51
      57	 1.96867	 1.07898	        -12746.3	         12103.5	        -642.857
      58	  1.9731	 1.07428	        -12773.9	         12130.7	        -643.193
      59	 1.97686	 1.07097	        -12797.2	         12153.8	        -643.386
      60	 1.97939	 1.07075	        -12812.8	         12169.4	         -643.39
      61	 1.98061	 1.07391	        -12820.1	         12176.9	        -643.234
      62	 1.98085	 1.07952	        -12821.3	         12178.3	        -643.017
      63	 1.98058	  1.0861	        -12819.5	         12176.7	         -642.83
      64	 1.98031	 1.09223	        -12817.7	           12175	        -642.696
      65	 1.98038	 1.09682	        -12818.1	         12175.5	        -642.628
      66	 1.98104	 1.09922	        -12822.1	         12179.5	        -642.654
      67	 1.98226	  1.0995	        -12829.8	           12187	        -642.766
      68	 1.98383	 1.09838	        -12839.6	         12196.6	        -642.943
      69	 1.98528	 1.09722	        -12848.8	         12205.6	         -643.24
      70	 1.98592	 1.09814	        -12852.9	         12209.5	        -643.478
      71	 1.98521	 1.10279	        -12848.5	         12205.1	        -643.397
      72	 1.98329	 1.11073	        -12836.4	         12193.3	        -643.118
      73	 1.98081	 1.12003	        -12820.9	         12178.1	        -642.875
      74	 1.97843	  1.1287	        -12806.2	         12163.4	        -642.722
      75	 1.97667	  1.1352	        -12795.3	         12152.7	        -642.613
      76	 1.97594	 1.13839	        -12790.7	         12148.1	         -642.57
      77	 1.97638	 1.13774	        -12793.6	         12150.9	        -642.687
      78	 1.97779	 1.13394	        -12802.4	         12159.5	        -642.932
      79	 1.97964	  1.1286	          -12814	         12170.9	        -643.126
      80	 1.98147	 1.12318	        -12825.4	         12182.1	        -643.224
      81	 1.98299	 1.11855	        -12834.8	         12191.5	        -643.309
      82	   1.984	  1.1154	        -12841.1	         12197.7	        -643.407
      83	 1.98429	 1.11439	        -12842.9	         12199.5	        -643.467
      84	 1.98377	  1.1158	        -12839.7	         12196.3	        -643.399
      85	 1.98264	 1.11905	        -12832.6	         12189.3	        -643.224
      86	 1.98134	 1.12282	        -12824.4	         12181.4	         -643.06
      87	 1.98032	 1.12578	          -12818	         12175.1	        -642.959
      88	 1.97986	 1.12706	        -12815.2	         12172.2	        -642.961
      89	 1.97995	 1.12657	        -12815.9	         12172.8	        -643.109
      90	 1.98027	 1.12524	        -12818.1	         12174.8	        -643.316
      91	 1.98036	 1.12438	        -12818.8	         12175.3	        -643.443
      92	 1.97992	 1.12475	          -12816	         12172.6	        -643.429
      93	 1.97901	 1.12612	        -12810.3	           12167	        -643.301
      94	 1.97797	 1.12745	        -12803.8	         12160.7	        -643.114
      95	 1.97728	 1.12732	        -12799.4	         12156.4	        -642.987
      96	 1.97725	 1.12474	        -12799.3	         12156.2	        -643.023
      97	 1.97788	 1.11978	        -12803.2	         12160.1	        -643.156
      98	  1.9789	 1.11325	        -12809.7	         12166.4	        -643.277
      99	 1.98005	 1.10599	        -12816.7	         12173.4	        -643.348
     100	 1.98113	 1.09863	        -12823.4	           12180	        -643.325
     101	 1.98216	 1.09124	        -12829.6	         12186.4	        -643.216
     102	 1.98329	 1.08344	        -12836.4	         12193.3	         -643.14
     103	 1.98461	 1.07506	        -12844.6	         12201.4	         -643.11
     104	 1.98618	  1.0661	        -12854.1	         12211.1	        -642.991
     105	  1.9882	 1.05608	        -12866.3	         12223.5	        -642.798
     106	 1.99099	 1.04414	        -12883.4	         12240.6	        -642.743
     107	 1.99454	 1.03036	        -12905.4	         12262.4	        -642.961
     108	 1.99828	 1.01654	        -12928.7	         12285.4	        -643.259
     109	 2.00145	   1.005	        -12948.3	         12304.9	        -643.378
     110	 2.00364	0.996954	        -12961.7	         12318.3	        -643.346
     111	 2.00478	 0.99257	        -12968.7	         12325.4	        -643.356
     112	 2.00478	0.992098	        -12968.8	         12325.3	        -643.483
     113	 2.00339	0.996253	        -12960.4	         12316.8	        -643.509
     114	 2.00063	 1.00498	        -12943.2	         12299.8	        -643.337
     115	 1.99691	 1.01687	        -12920.1	           12277	        -643.107
     116	 1.99287	 1.02997	        -12895.1	         12252.2	        -642.912
     117	 1.98906	 1.04249	        -12871.5	         12228.8	        -642.767
     118	 1.98592	 1.05302	        -12852.2	         12209.5	        -642.698
     119	 1.98371	 1.06066	        -12838.5	         12195.9	        -642.622
     120	 1.98273	 1.06456	        -12832.3	         12189.9	        -642.457
     121	 1.98334	 1.06359	          -12836	         12193.6	        -642.376
     122	 1.98564	  1.0574	        -12850.4	         12207.8	        -642.592
     123	 1.98909	 1.04767	          -12872	           12229	        -643.007
     124	 1.99266	 1.03752	        -12894.2	         12250.9	        -643.338
     125	 1.99545	 1.02962	        -12911.5	           12268	         -643.45
     126	 1.99706	 1.02517	        -12921.3	         12277.9	        -643.345
     127	 1.99766	 1.02373	        -12924.7	         12281.6	        -643.066
     128	 1.99786	 1.02356	        -12925.6	         12282.8	        -642.717
     129	 1.99844	  1.0224	        -12928.9	         12286.4	        -642.478
     130	 1.99994	 1.01868	        -12938.1	         12295.6	        -642.467
     131	  2.0024	 1.01236	        -12953.4	         12310.7	        -642.675
     132	  2.0053	   1.005	        -12971.5	         12328.5	        -642.984
     133	  2.0079	0.998858	        -12987.7	         12344.5	        -643.175
     134	 2.00965	 0.99555	        -12998.5	         12355.2	         -643.21
     135	 2.01032	 0.99571	        -13002.6	         12359.4	        -643.235
     136	 2.00979	0.999709	        -12999.4	         12356.1	        -643.301
     137	  2.0079	 1.00794	        -12987.9	         12344.5	        -643.353
     138	 2.00461	 1.02045	        -12967.6	         12324.3	        -643.318
     139	 2.00012	 1.03651	        -12939.9	         12296.7	        -643.141
     140	 1.99501	 1.05426	        -12908.2	         12265.3	        -642.865
     141	 1.99007	 1.07121	        -12877.6	           12235	        -642.618
     142	 1.98604	 1.08507	        -12852.7	         12210.2	        -642.447
     143	 1.98343	 1.09423	        -12836.6	         12194.2	        -642.411
     144	 1.98241	 1.09819	        -12830.4	         12187.9	        -642.547
     145	  1.9827	 1.09774	        -12832.5	         12189.7	         -642.74
     146	 1.98391	 1.09421	          -12840	         12197.1	        -642.871
     147	 1.98568	 1.08875	          -12851	           12208	        -642.961
     148	 1.98771	 1.08239	        -12863.6	         12220.5	        -643.117
     149	 1.98953	  1.0766	        -12875.1	         12231.7	        -643.406
     150	 1.99042	 1.07359	        -12880.9	         12237.1	         -643.74
     151	 1.98964	 1.07561	        -12876.2	         12232.3	        -643.885
     152	 1.98693	  1.0834	        -12859.4	         12215.7	        -643.687
     153	 1.98289	  1.0952	        -12834.1	         12190.8	        -643.229
     154	 1.97871	 1.10739	          -12808	         12165.2	        -642.743
     155	  1.9757	 1.11612	        -12789.2	         12146.7	        -642.517
     156	 1.97448	 1.11937	          -12782	         12139.2	        -642.767
     157	 1.97465	 1.11827	        -12783.5	         12140.3	        -643.295
     158	 1.97522	 1.11579	        -12787.3	         12143.7	        -643.577
     159	 1.97566	 1.11346	        -12789.8	         12146.4	        -643.368
     160	 1.97639	 1.10997	        -12793.9	         12150.9	        -643.017
     161	 1.97811	 1.10325	        -12804.4	         12161.5	        -642.905
     162	 1.98097	 1.09287	        -12822.1	           12179	        -643.085
     163	  1.9844	 1.08056	        -12843.5	         12200.2	        -643.387
     164	 1.98756	  1.0689	        -12863.1	         12219.6	        -643.533
     165	 1.98992	 1.05944	        -12877.5	         12234.1	        -643.449
     166	 1.99151	 1.05209	        -12887.1	         12243.9	        -643.235
     167	 1.99277	 1.04562	        -12894.6	         12251.6	        -643.005
     168	 1.99423	  1.0385	        -12903.3	         12260.5	        -642.783
     169	 1.99641	 1.02924	        -12916.5	           12274	        -642.596
     170	 1.99969	 1.01683	        -12936.7	         12294.1	        -642.625
     171	 2.00385	 1.00186	        -12962.6	         12319.7	        -642.957
     172	 2.00804	0.986987	        -12988.7	         12345.4	        -643.363
     173	 2.01119	0.975401	        -13008.3	         12364.8	        -643.586
     174	 2.01266	0.969059	        -13017.3	         12373.8	        -643.562
     175	 2.01241	0.968066	        -13015.6	         12372.2	        -643.348
     176	   2.011	0.970912	        -13006.5	         12363.5	        -642.982
     177	 2.00924	0.975105	        -12995.6	         12352.8	        -642.844
     178	 2.00749	0.979547	        -12985.1	           12342	        -643.019
     179	 2.00555	0.984943	          -12973	         12330.1	        -642.948
     180	 2.00354	0.990802	        -12960.4	         12317.7	        -642.698
     181	 2.00193	0.995567	        -12950.5	         12307.8	        -642.629
     182	 2.00087	0.998752	        -12944.2	         12301.3	         -642.86
     183	 1.99989	 1.00171	        -12938.5	         12295.3	        -643.174
     184	 1.99842	 1.00617	        -12929.5	         12286.3	        -643.175
     185	 1.99656	 1.01186	        -12917.6	         12274.8	        -642.805
     186	 1.99514	 1.01623	        -12908.6	         12266.1	        -642.494
     187	 1.99494	 1.01702	        -12907.4	         12264.9	        -642.462
     188	 1.99616	 1.01377	          -12915	         12272.4	        -642.588
     189	  1.9985	 1.00735	        -12929.6	         12286.8	        -642.834
     190	 2.00138	0.999576	        -12947.6	         12304.5	        -643.122
     191	 2.00409	0.992603	        -12964.5	         12321.1	        -643.348
     192	 2.00605	0.988225	        -12976.6	         12333.1	        -643.481
     193	  2.0069	0.987523	        -12981.9	         12338.4	        -643.509
     194	  2.0066	0.990733	          -12980	         12336.6	         -643.44
     195	 2.00535	0.997277	        -12972.2	         12328.9	          -643.3
     196	 2.00353	 1.00603	        -12960.8	         12317.7	        -643.172
     197	 2.00147	 1.01593	        -12948.1	           12305	        -643.127
     198	 1.99932	 1.02641	          -12935	         12291.8	        -643.139
     199	 1.99708	 1.03739	        -12921.3	         12278.1	        -643.192
     200	 1.99465	 1.04905	        -12906.4	         12263.1	         -643.28
     201	 1.99187	 1.06174	        -12889.3	           12246	        -643.313
     202	 1.98874	 1.07541	          -12870	         12226.8	         -643.23
     203	 1.98548	  1.0893	        -12849.9	         12206.8	        -643.116
     204	 1.98241	  1.1024	        -12830.9	         12187.9	        -643.022
     205	  1.9798	 1.11386	        -12814.8	         12171.8	        -642.982
     206	 1.97775	 1.12324	        -12802.3	         12159.3	        -643.081
     207	 1.97611	 1.13091	        -12792.4	         12149.2	        -643.214
     208	 1.97469	 1.13743	        -12783.7	         12140.5	        -643.207
     209	 1.97354	 1.14259	        -12776.6	         12133.4	        -643.135
     210	 1.97285	 1.14578	        -12772.2	         12129.1	        -643.078
     211	 1.97281	 1.14649	        -12771.9	         12128.9	        -642.942
     212	  1.9737	 1.14393	        -12777.2	         12134.4	        -642.816
     213	 1.97574	 1.13755	        -12789.8	           12147	        -642.804
     214	 1.97887	 1.12766	        -12809.1	         12166.2	        -642.901
     215	 1.98269	 1.11544	        -12832.8	         12189.6	        -643.175
     216	 1.98644	 1.10324	        -12856.2	         12212.7	        -643.538
     217	 1.98919	 1.09385	        -12873.3	         12229.6	        -643.759
     218	 1.99037	 1.08904	        -12880.5	         12236.8	        -643.733
     219	 1.98999	 1.08872	          -12878	         12234.5	        -643.474
     220	 1.98871	 1.09107	        -12869.7	         12226.6	        -643.053
     221	 1.98751	 1.09315	          -12862	         12219.3	        -642.712
     222	  1.9872	 1.09257	          -12860	         12217.3	        -642.679
     223	 1.98792	 1.08894	        -12864.6	         12221.8	        -642.849
     224	 1.98933	 1.08332	        -12873.5	         12230.4	         -643.03
     225	 1.99099	 1.07704	        -12883.8	         12240.6	        -643.163
     226	 1.99257	 1.07109	        -12893.5	         12250.3	        -643.178
     227	 1.99403	 1.06565	        -12902.4	         12259.3	        -643.087
     228	 1.99551	  1.0603	        -12911.5	         12268.4	        -643.056
     229	 1.99705	 1.05497	          -12921	         12277.8	        -643.154
     230	 1.99838	 1.05041	        -12929.3	           12286	        -643.305
     231	 1.99915	 1.04771	        -12934.1	         12290.8	        -643.363
     232	  1.9992	 1.04737	        -12934.3	           12291	          -643.3
     233	 1.99857	 1.04911	        -12930.5	         12287.2	         -643.29
     234	 1.99733	 1.05275	        -12922.9	         12279.6	         -643.32
     235	  1.9955	 1.05816	        -12911.6	         12268.4	        -643.214
     236	  1.9934	 1.06433	        -12898.5	         12255.4	        -643.062
     237	 1.99139	 1.06997	        -12886.1	         12243.1	         -643.06
     238	  1.9896	 1.07464	        -12875.2	         12232.1	        -643.093
     239	 1.98808	 1.07812	        -12865.7	         12222.7	        -642.979
     240	 1.98713	 1.07943	        -12859.7	         12216.9	        -642.782
     241	  1.9872	  1.0772	        -12860.1	         12217.4	        -642.716
     242	 1.98844	 1.07099	        -12867.8	           12225	        -642.842
     243	 1.99056	 1.06175	          -12881	           12238	        -642.997
     244	 1.99312	 1.05085	        -12896.9	         12253.7	        -643.126
     245	 1.99569	 1.03963	        -12912.8	         12269.5	        -643.295
     246	 1.99781	 1.02955	        -12925.9	         12282.6	         -643.38
     247	 1.99933	 1.02126	          -12935	         12291.9	        -643.173
     248	 2.00068	  1.0136	          -12943	         12300.2	        -642.832
     249	  2.0025	 1.00471	        -12954.2	         12311.3	         -642.86
     250	 2.00467	0.995004	        -12967.9	         12324.7	          -643.2
     251	 2.00642	 0.98691	        -12978.9	         12335.4	        -643.415
     252	 2.00714	0.982211	        -12983.3	         12339.8	        -643.417
     253	 2.00672	0.981191	        -12980.5	         12337.2	        -643.275
     254	 2.00548	0.982933	        -12972.7	         12329.6	        -643.009
     255	 2.00407	 0.98558	        -12963.7	           12321	        -642.684
     256	 2.00323	0.986973	        -12958.4	         12315.8	        -642.547
     257	 2.00324	0.986215	        -12958.6	         12315.9	        -642.728
     258	 2.00377	0.984405	        -12962.1	         12319.1	         -642.99
     259	 2.00421	0.983295	          -12965	         12321.9	        -643.148
     260	 2.00418	0.984045	        -12964.9	         12321.7	        -643.199
     261	 2.00354	0.987033	        -12960.9	         12317.7	        -643.168
     262	 2.00237	0.992038	        -12953.7	         12310.5	        -643.142
     263	 2.00073	0.998794	        -12943.7	         12300.5	        -643.206
     264	 1.99854	 1.00751	        -12930.4	           12287	        -643.349
     265	 1.99557	 1.01881	        -12912.3	         12268.8	        -643.509
     266	 1.99158	 1.03324	        -12887.8	         12244.2	        -643.569
     267	 1.98664	 1.05053	        -12857.3	         12213.9	          -643.4
     268	 1.98135	 1.06884	        -12824.4	         12181.4	         -643.07
     269	 1.97658	 1.08537	          -12795	         12152.1	        -642.861
     270	 1.97301	 1.09808	        -12772.9	         12130.2	        -642.758
     271	 1.97101	 1.10585	        -12760.5	         12117.9	        -642.691
     272	 1.97068	 1.10821	        -12758.6	         12115.8	        -642.799
     273	 1.97173	 1.10598	        -12765.3	         12122.3	        -643.028
     274	 1.97358	 1.10087	        -12776.8	         12133.6	        -643.175
     275	 1.97579	 1.09421	        -12790.4	         12147.2	        -643.161
     276	 1.97826	 1.08631	        -12805.5	         12162.4	        -643.027
     277	  1.9812	  1.0767	        -12823.3	         12180.5	        -642.846
     278	 1.98486	 1.06468	        -12845.7	         12202.9	        -642.787
     279	 1.98919	 1.05045	        -12872.5	         12229.6	        -642.974
     280	 1.99366	 1.03571	        -12900.3	         12257.1	         -643.21
     281	 1.99765	 1.02247	        -12924.8	         12281.5	        -643.232
     282	 2.00094	 1.01141	        -12944.8	         12301.7	        -643.064
     283	 2.00376	 1.00196	          -12962	         12319.1	         -642.93
     284	 2.00629	0.993656	        -12977.6	         12334.6	         -642.98
     285	 2.00837	0.987092	        -12990.6	         12347.4	        -643.179
     286	 2.00952	0.983733	        -12997.8	         12354.5	        -643.367
     287	 2.00933	0.984836	        -12996.7	         12353.3	        -643.403
     288	 2.00776	0.990503	        -12986.9	         12343.6	         -643.26
     289	 2.00521	0.999502	          -12971	           12328	        -643.026
     290	 2.00233	  1.0099	        -12953.1	         12310.3	        -642.849
     291	 1.99963	 1.02008	        -12936.5	         12293.7	        -642.797
     292	 1.99737	 1.02923	        -12922.6	         12279.8	        -642.807
     293	  1.9956	 1.03708	        -12911.8	         12268.9	        -642.828
     294	 1.99429	 1.04362	        -12903.8	         12260.9	        -642.899
     295	 1.99325	 1.04931	        -12897.6	         12254.5	        -643.054
     296	 1.99211	 1.05518	        -12890.7	         12247.5	         -643.24
     297	 1.99043	 1.06245	        -12880.5	         12237.2	        -643.334
     298	 1.98803	 1.07163	        -12865.7	         12222.4	        -643.269
     299	 1.98507	 1.08217	        -12847.4	         12204.2	        -643.127
     300	  1.9819	 1.09291	        -12827.8	         12184.8	        -643.013
     301	 1.97887	  1.1028	          -12809	         12166.1	        -642.886
     302	 1.97632	  1.1107	        -12793.2	         12150.5	        -642.742
     303	 1.97462	 1.11547	        -12782.7	         12140.1	        -642.673
     304	 1.97399	 1.11643	        -12778.9	         12136.2	        -642.735
     305	 1.97434	 1.11378	        -12781.2	         12138.3	        -642.916
     306	 1.97537	 1.10847	        -12787.8	         12144.6	        -643.109
     307	 1.97675	 1.10155	        -12796.3	         12153.1	        -643.177
     308	 1.97843	 1.09325	        -12806.5	         12163.5	        -643.071
     309	 1.98074	 1.08282	        -12820.5	         12177.6	        -642.881
     310	 1.98409	 1.06917	        -12841.1	         12198.3	        -642.811
     311	  1.9886	 1.05218	        -12868.9	         12225.9	        -642.973
     312	 1.99374	 1.03356	        -12900.9	         12257.5	        -643.352
     313	 1.99849	  1.0165	        -12930.5	         12286.7	        -643.751
     314	 2.00178	  1.0043	        -12950.9	         12306.9	         -643.96
     315	 2.00297	0.998893	        -12958.2	         12314.2	        -643.982
     316	 2.00191	 1.00064	        -12951.6	         12307.7	        -643.937
     317	 1.99878	 1.00898	        -12932.3	         12288.5	        -643.826
     318	 1.99403	 1.02248	        -12902.9	         12259.3	        -643.613
     319	 1.98835	 1.03887	        -12867.8	         12224.4	         -643.36
     320	 1.98264	  1.0554	        -12832.4	         12189.3	        -643.029
     321	 1.97795	 1.06887	        -12803.1	         12160.5	        -642.598
     322	 1.97538	 1.07589	        -12787.1	         12144.7	         -642.37
     323	 1.97543	 1.07486	        -12787.7	           12145	        -642.676
     324	 1.97741	 1.06787	        -12800.4	         12157.2	        -643.215
     325	    1.98	 1.05889	        -12816.7	         12173.1	         -643.61
     326	 1.98208	 1.05117	        -12829.7	         12185.9	        -643.829
     327	 1.98302	 1.04658	        -12835.5	         12191.7	        -643.854
     328	 1.98278	 1.04537	        -12833.8	         12190.2	        -643.605
     329	 1.98198	  1.0458	        -12828.4	         12185.3	        -643.191
     330	 1.98156	 1.04508	        -12825.7	         12182.7	        -642.978
     331	 1.98204	  1.0417	        -12828.8	         12185.7	        -643.143
     332	 1.98316	 1.03652	        -12835.9	         12192.5	        -643.388
     333	  1.9844	 1.03105	        -12843.5	         12200.2	        -643.377
     334	 1.98573	 1.02543	        -12851.5	         12208.3	        -643.218
     335	 1.98733	 1.01902	        -12861.4	         12218.2	        -643.202
     336	 1.98918	 1.01198	        -12872.8	         12229.5	        -643.269
     337	 1.99105	 1.00507	        -12884.3	           12241	        -643.264
     338	 1.99282	0.998673	        -12895.1	         12251.9	        -643.266
     339	 1.99437	0.993147	        -12904.7	         12261.4	        -643.303
     340	 1.99562	0.988874	        -12912.3	         12269.1	        -643.214
     341	 1.99669	0.985492	        -12918.7	         12275.6	        -643.084
     342	  1.9978	0.982386	        -12925.5	         12282.4	        -643.087
     343	 1.99891	0.979684	        -12932.5	         12289.3	        -643.191
     344	 1.99981	 0.97812	        -12938.2	         12294.8	        -643.344
     345	 2.00015	0.978682	        -12940.5	         12296.9	        -643.562
     346	  1.9995	  0.9826	        -12936.7	         12292.9	        -643.821
     347	 1.99745	0.991046	        -12924.2	         12280.3	        -643.933
