    Step 	 <(r-r')^2> 	 <(v-v')^2> 

0	0	0
1	6.57782e-17	1.31018e-12
2	2.61412e-16	2.14803e-12
3	5.83459e-16	3.75331e-12
4	1.02843e-15	6.49822e-12
5	1.59512e-15	1.09516e-11
6	2.28838e-15	1.79318e-11
7	3.12458e-15	2.85801e-11
8	4.1397e-15	4.44635e-11
9	5.40045e-15	6.77119e-11
10	7.01983e-15	1.01203e-10
11	9.17854e-15	1.48795e-10
12	1.21539e-14	2.15642e-10
13	1.63587e-14	3.0858e-10
14	2.23922e-14	4.36613e-10
15	3.11064e-14	6.11496e-10
16	4.369e-14	8.48405e-10
17	6.17722e-14	1.16665e-09
18	8.75458e-14	1.59035e-09
19	1.23906e-13	2.14898e-09
20	1.74596e-13	2.8774e-09
21	2.44336e-13	3.81521e-09
22	3.38915e-13	5.00487e-09
23	4.65186e-13	6.48812e-09
24	6.30926e-13	8.30039e-09
25	8.44491e-13	1.04628e-08
26	1.11423e-12	1.29724e-08
27	1.44764e-12	1.57917e-08
28	1.85033e-12	1.88384e-08
29	2.32483e-12	2.19801e-08
30	2.86953e-12	2.50373e-08
31	3.47756e-12	2.78011e-08
32	4.13663e-12	3.00693e-08
33	4.82618e-12	3.17027e-08
34	5.52077e-12	3.26915e-08
35	6.18905e-12	3.31866e-08
36	6.79724e-12	3.34172e-08
37	7.31442e-12	3.35122e-08
38	7.71929e-12	3.34222e-08
39	8.00689e-12	3.3041e-08
40	8.19278e-12	3.23362e-08
41	8.32828e-12	3.13527e-08
42	8.33139e-12	3.01674e-08
43	8.48538e-12	2.88767e-08
44	8.74529e-12	2.76054e-08
45	9.15961e-12	2.64628e-08
46	9.76414e-12	2.54455e-08
47	1.0581e-11	2.44297e-08
48	1.16228e-11	2.33027e-08
49	1.28932e-11	2.20537e-08
50	1.43919e-11	2.07188e-08
51	1.6117e-11	1.95566e-08
52	1.80668e-11	1.87491e-08
53	2.0237e-11	1.82263e-08
54	2.26239e-11	1.8109e-08
55	2.52195e-11	1.84634e-08
56	2.80111e-11	1.9291e-08
57	3.09786e-11	2.04906e-08
58	3.40934e-11	2.18814e-08
59	3.73171e-11	2.32742e-08
60	4.06027e-11	2.45293e-08
61	4.38926e-11	2.55715e-08
62	4.71343e-11	2.63694e-08
