    Step 	 <r-r'>^2 	 <v-v'>^2 

0	0	0
1	2.756e-14	1.51361e-10
2	1.08068e-13	8.25422e-10
3	2.50788e-13	3.05171e-09
4	5.33132e-13	9.36719e-09
5	1.25798e-12	2.58842e-08
6	3.36781e-12	6.7229e-08
7	9.47654e-12	1.67703e-07
8	2.61732e-11	4.02276e-07
9	6.78858e-11	9.05257e-07
10	1.58055e-10	1.80088e-06
11	3.09845e-10	2.88909e-06
12	4.75264e-10	3.51021e-06
13	5.62019e-10	3.27722e-06
14	5.96653e-10	3.4813e-06
15	7.08127e-10	2.9512e-06
16	9.59418e-10	2.26886e-06
17	1.37137e-09	1.95665e-06
18	1.92783e-09	1.70916e-06
19	2.53204e-09	1.4615e-06
20	3.10127e-09	1.26577e-06
21	3.60127e-09	1.13728e-06
22	4.04755e-09	1.05119e-06
23	4.4798e-09	1.02853e-06
24	4.92906e-09	1.10899e-06
25	5.41866e-09	1.29139e-06
26	5.95014e-09	1.49566e-06
27	6.50783e-09	1.61457e-06
28	7.11801e-09	1.62478e-06
29	7.6455e-09	1.55836e-06
30	8.12609e-09	2.06023e-06
31	8.59891e-09	2.33796e-06
32	9.08519e-09	2.55374e-06
33	9.58775e-09	2.75483e-06
34	1.00927e-08	2.86033e-06
35	1.07545e-08	2.83399e-06
36	1.13147e-08	2.92567e-06
37	1.18782e-08	3.11153e-06
38	1.26077e-08	3.37794e-06
39	1.32348e-08	4.03541e-06
40	1.39255e-08	5.83647e-06
41	1.47039e-08	8.2066e-06
42	1.54433e-08	8.13537e-06
43	1.59442e-08	4.32167e-06
44	0.0587615	5.4412e-06
45	1.77384e-08	5.8492e-06
46	1.92012e-08	5.80917e-06
47	2.05068e-08	5.26203e-06
48	2.12596e-08	5.5018e-06
49	2.24154e-08	5.98911e-06
50	2.37944e-08	6.62567e-06
51	2.53207e-08	7.08497e-06
52	2.69237e-08	7.14343e-06
53	2.83818e-08	7.16423e-06
54	2.99433e-08	9.24043e-06
55	3.16444e-08	1.05523e-05
56	3.3244e-08	1.07942e-05
57	3.48849e-08	1.06143e-05
58	3.66608e-08	9.64509e-06
59	3.87221e-08	9.17201e-06
60	4.09865e-08	8.04206e-06
61	4.36694e-08	7.44184e-06
62	4.63912e-08	7.87157e-06
63	4.92312e-08	8.69673e-06
