    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.44898	-1.91352	        -4426.69	         3684.06	        -742.629
       1	 2.44729	-1.90087	        -4424.19	         3681.52	        -742.676
       2	 2.44194	  -1.862	        -4416.27	          3673.5	        -742.769
       3	 2.43218	-1.79443	        -4401.79	         3658.85	        -742.936
       4	 2.41667	-1.69381	        -4378.78	         3635.59	         -743.19
       5	  2.3934	-1.55378	        -4344.23	         3600.69	        -743.543
       6	 2.35972	-1.36604	        -4294.14	         3550.17	        -743.978
       7	 2.31263	-1.12162	        -4223.93	         3479.53	        -744.392
       8	 2.25002	-0.814895	        -4130.15	         3385.62	        -744.534
       9	 2.17299	-0.451642	        -4014.17	         3270.07	        -744.102
      10	   2.088	-0.0569109	        -3885.76	         3142.58	        -743.179
      11	 2.00536	    0.33	        -3761.03	         3018.63	        -742.401
      12	 1.93378	 0.67583	         -3653.4	         2911.26	        -742.141
      13	 1.87696	 0.96578	         -3568.2	         2826.03	        -742.174
      14	   1.835	 1.19789	        -3505.31	         2763.08	        -742.234
      15	 1.80693	 1.37421	        -3463.22	         2720.97	        -742.241
      16	 1.79187	 1.49704	        -3440.63	         2698.39	        -742.238
      17	 1.78888	 1.56955	        -3436.22	         2693.91	         -742.31
      18	 1.79634	 1.59779	        -3447.59	         2705.09	        -742.495
      19	 1.81165	 1.59166	        -3470.83	         2728.07	        -742.759
      20	 1.83161	 1.56353	        -3501.04	         2758.01	        -743.035
      21	 1.85297	 1.52597	        -3533.31	         2790.04	        -743.278
      22	 1.87292	 1.48991	        -3563.44	         2819.97	        -743.475
      23	 1.88932	 1.46393	        -3588.19	         2844.57	        -743.618
      24	 1.90082	 1.45364	        -3605.48	         2861.82	        -743.663
      25	 1.90722	 1.46037	        -3615.01	         2871.42	        -743.592
      26	 1.90953	 1.48082	        -3618.35	         2874.89	        -743.465
      27	 1.90946	 1.50908	        -3618.13	         2874.78	        -743.353
      28	 1.90871	 1.53911	        -3616.91	         2873.65	        -743.261
      29	 1.90875	 1.56556	        -3616.91	         2873.71	         -743.21
      30	 1.91052	 1.58478	        -3619.62	         2876.36	         -743.26
      31	 1.91403	 1.59654	        -3625.01	         2881.64	        -743.376
      32	  1.9188	 1.60273	        -3632.19	         2888.79	        -743.397
      33	 1.92494	 1.60301	        -3641.32	            2898	        -743.323
      34	 1.93302	 1.59521	        -3653.48	         2910.12	        -743.363
      35	 1.94262	  1.5811	        -3668.02	         2924.51	        -743.503
      36	 1.95237	 1.56593	        -3682.72	         2939.14	        -743.578
      37	 1.96123	 1.55356	        -3696.03	         2952.44	        -743.589
      38	 1.96872	 1.54574	         -3707.3	         2963.66	        -743.643
      39	 1.97415	 1.54486	        -3715.57	         2971.82	        -743.759
      40	 1.97667	 1.55416	        -3719.39	         2975.59	        -743.804
      41	 1.97622	 1.57391	        -3718.59	         2974.92	        -743.665
      42	 1.97429	 1.59874	        -3715.49	         2972.02	        -743.472
      43	 1.97272	 1.62176	        -3713.07	         2969.67	        -743.405
      44	 1.97232	 1.64004	        -3712.51	         2969.07	        -743.438
      45	 1.97285	 1.65425	        -3713.37	         2969.86	        -743.509
      46	 1.97357	 1.66663	        -3714.54	         2970.95	        -743.591
      47	 1.97378	 1.67954	        -3714.86	         2971.25	        -743.604
      48	 1.97348	 1.69298	        -3714.28	         2970.81	        -743.468
      49	 1.97399	  1.7024	        -3714.82	         2971.57	        -743.257
      50	 1.97711	 1.70135	        -3719.44	         2976.26	        -743.182
      51	 1.98347	 1.68788	         -3729.1	         2985.79	        -743.312
      52	 1.99185	 1.66658	        -3741.87	         2998.36	        -743.509
      53	 2.00034	 1.64441	        -3754.76	          3011.1	        -743.654
      54	 2.00754	 1.62656	        -3765.58	         3021.89	        -743.685
      55	 2.01313	 1.61428	         -3773.9	         3030.28	        -743.621
      56	 2.01763	 1.60574	        -3780.61	         3037.03	        -743.585
      57	 2.02137	 1.59976	        -3786.28	         3042.65	        -743.631
      58	 2.02406	 1.59756	        -3790.32	         3046.67	        -743.654
      59	 2.02543	 1.59991	        -3792.34	         3048.74	        -743.604
      60	 2.02581	 1.60555	        -3792.84	         3049.31	        -743.535
      61	 2.02572	 1.61253	        -3792.67	         3049.17	        -743.497
      62	 2.02547	 1.61974	        -3792.29	         3048.79	        -743.498
      63	 2.02503	 1.62729	        -3791.65	         3048.13	        -743.522
      64	 2.02414	 1.63617	        -3790.36	         3046.79	        -743.572
      65	 2.02227	 1.64822	        -3787.65	         3043.99	        -743.658
      66	 2.01868	 1.66606	        -3782.36	         3038.61	        -743.744
      67	 2.01278	  1.6918	        -3773.51	         3029.75	        -743.757
      68	 2.00473	 1.72473	        -3761.33	         3017.68	        -743.654
      69	 1.99586	 1.76007	        -3747.84	         3004.38	        -743.458
      70	 1.98832	 1.79007	        -3736.34	         2993.07	        -743.267
      71	 1.98412	 1.80749	        -3729.96	         2986.76	        -743.202
      72	 1.98397	 1.80967	        -3729.85	         2986.55	          -743.3
      73	 1.98705	 1.79973	        -3734.62	         2991.16	        -743.461
